rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_059,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.052559,-0.05439026536308762,-0.05072773463691238,0.430634,3.8615407780001076
2,q_learning_099,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.053951,-0.05544128884949641,-0.05246071115050359,0.429366,3.710321291999935
3,q_learning_069,q_learning,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.055302000000000004,-0.05685488908760414,-0.05374911091239587,0.42888,3.839704738100045
4,q_learning_084,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.055759,-0.057517567637798195,-0.05400043236220181,0.429382,3.783395418100099
5,sarsa_049,sarsa,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.056004,-0.05779069454625014,-0.05421730545374986,0.43039299999999997,3.912680868600046
6,q_learning_089,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.05614,-0.05775274112546862,-0.05452725887453139,0.428627,3.8036307192999628
7,monte_carlo_014,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.056227,-0.057297115526141404,-0.055156884473858594,0.431015,4.883078370699968
8,sarsa_054,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.056237,-0.05711705261064957,-0.05535694738935044,0.429713,3.8885715622001498
9,monte_carlo_009,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.056328,-0.05755115027992839,-0.05510484972007162,0.430695,4.852328929500027
10,q_learning_079,q_learning,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.056537000000000004,-0.058369983807699595,-0.05470401619230041,0.428681,3.8615160443998775
11,q_learning_074,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.05695,-0.058751028015575794,-0.05514897198442421,0.428687,3.8381551707999733
12,q_learning_094,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.057076,-0.05807809151802063,-0.05607390848197937,0.42908999999999997,3.894360662099962
13,sarsa_039,sarsa,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.057199,-0.05892703504949022,-0.05547096495050978,0.429531,3.8927930984999874
14,monte_carlo_004,monte_carlo,500000,"epsilon=0.2, gamma=1.0",10,-0.057203,-0.05869037198581181,-0.05571562801418818,0.42995,4.901515217799988
15,sarsa_029,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.058219,-0.06002980724093489,-0.05640819275906511,0.428586,3.8850842061000095
16,q_learning_064,q_learning,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.058281,-0.06071846828980855,-0.05584353171019145,0.428124,3.8545327682999413
17,sarsa_044,sarsa,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.058704,-0.060131613913820305,-0.057276386086179694,0.429488,3.7900645790999987
18,sarsa_034,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.059141,-0.06129333911615557,-0.05698866088384443,0.429232,3.795782412699964
19,sarsa_024,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.059387,-0.061580227544399145,-0.05719377245560086,0.428392,3.914888553600008
20,sarsa_058,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.061859,-0.06314287380958306,-0.06057512619041693,0.427034,1.5660108752999804
21,q_learning_083,q_learning,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.061923,-0.06375157029086174,-0.06009442970913825,0.42754,1.5272029557999303
22,q_learning_098,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.062066,-0.06462617017642708,-0.05950582982357292,0.426932,1.5844240528999762
23,q_learning_088,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.062371,-0.06445293962081304,-0.06028906037918697,0.42696,1.5264486746999864
24,sarsa_038,sarsa,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.062722,-0.06376051561725805,-0.06168348438274194,0.427183,1.5792949410999426
25,sarsa_048,sarsa,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.06298,-0.06463609368495062,-0.06132390631504937,0.427564,1.549622764499918
26,monte_carlo_008,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.063014,-0.06583444416183772,-0.060193555838162285,0.427915,1.9730869086999747
27,q_learning_068,q_learning,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.063543,-0.06551762377630665,-0.06156837622369335,0.426265,1.5346626787000333
28,q_learning_078,q_learning,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.063821,-0.06612657149296125,-0.061515428507038755,0.426192,1.5537196087999745
29,monte_carlo_013,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.064368,-0.0662585321877891,-0.06247746781221089,0.427552,1.9107741251000108
30,sarsa_053,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.064391,-0.06629253550533364,-0.06248946449466637,0.426816,1.5553801303000454
31,sarsa_043,sarsa,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.06442,-0.06608515173175834,-0.06275484826824167,0.427248,1.5294307773000582
32,monte_carlo_003,monte_carlo,200000,"epsilon=0.2, gamma=1.0",10,-0.064529,-0.0663554597931031,-0.0627025402068969,0.426886,1.7370846402999631
33,q_learning_093,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.064777,-0.06602492840684962,-0.06352907159315038,0.426483,1.5414504000000306
34,q_learning_073,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.064788,-0.06663646878498575,-0.06293953121501425,0.426157,1.537812055400036
35,sarsa_028,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.065333,-0.06701640826241158,-0.06364959173758843,0.42602,1.5671765324999796
36,q_learning_063,q_learning,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.06636500000000001,-0.06898437825039964,-0.06374562174960037,0.425456,1.5627305932000581
37,q_learning_087,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.066692,-0.06894746488436912,-0.06443653511563088,0.425573,0.7847312198000054
38,monte_carlo_019,monte_carlo,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.067315,-0.06926201061367877,-0.06536798938632123,0.429587,4.802517206800007
39,sarsa_047,sarsa,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.067747,-0.06940989454097365,-0.06608410545902635,0.425688,0.7639674663000733
40,sarsa_057,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.067977,-0.06992409128889451,-0.06602990871110548,0.425164,0.7894854705999933
41,sarsa_023,sarsa,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.068336,-0.06944868325164391,-0.06722331674835608,0.425281,1.529384633399991
42,sarsa_033,sarsa,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.068528,-0.07055506666473722,-0.06650093333526279,0.425315,1.5352931291999083
43,monte_carlo_018,monte_carlo,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.069008,-0.07069923961984496,-0.06731676038015504,0.428162,1.9371849540999846
44,sarsa_037,sarsa,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.069107,-0.07087757925893697,-0.06733642074106304,0.424709,0.7765266723999957
45,q_learning_097,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.069291,-0.0715182160164255,-0.06706378398357452,0.424278,0.7877184168999974
46,sarsa_052,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.069755,-0.07184573863417798,-0.06766426136582201,0.425027,0.7716921869999169
47,sarsa_042,sarsa,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.069881,-0.07309693795321572,-0.06666506204678428,0.425238,0.8146543845999986
48,q_learning_092,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.069908,-0.07131817062456995,-0.06849782937543004,0.424602,0.8092790770999727
49,q_learning_082,q_learning,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.069999,-0.07195778540366218,-0.06804021459633783,0.42439,0.7669473751000624
50,monte_carlo_012,monte_carlo,100000,"epsilon=0.3, gamma=1.0",10,-0.070504,-0.07256649417438639,-0.0684415058256136,0.425126,0.9328385362999825
51,q_learning_067,q_learning,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.070545,-0.07208097888556089,-0.0690090211144391,0.423701,0.8060171298001023
52,q_learning_072,q_learning,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.070925,-0.07264938233579447,-0.06920061766420553,0.42376400000000003,0.7801206944000569
53,sarsa_027,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.070941,-0.07253140564435619,-0.06935059435564382,0.423995,0.8055101860999911
54,monte_carlo_007,monte_carlo,100000,"epsilon=0.25, gamma=1.0",10,-0.071183,-0.07330403849117989,-0.0690619615088201,0.424304,0.9972652802999846
55,monte_carlo_002,monte_carlo,100000,"epsilon=0.2, gamma=1.0",10,-0.071227,-0.07340118506341009,-0.0690528149365899,0.424137,0.7667920199000264
56,q_learning_062,q_learning,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.071347,-0.07358733906406051,-0.06910666093593948,0.423603,0.7742335479998929
57,q_learning_077,q_learning,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.071748,-0.07377674212921319,-0.06971925787078682,0.423678,0.7934821876000114
58,sarsa_022,sarsa,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.072318,-0.07497766984804922,-0.06965833015195076,0.42384099999999997,0.8031595558999924
