rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_005,sarsa,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.045053,-0.04554397510975609,-0.04456202489024392,0.431948,78.62544961440017
2,q_learning_008,q_learning,2000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.045525,-0.04637263422352386,-0.044677365776476144,0.43188899999999997,83.96996229619981
3,q_learning_007,q_learning,1000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.045794,-0.04655842345263168,-0.045029576547368326,0.431971,41.44078310999976
4,sarsa_004,sarsa,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.045868,-0.046912335707285306,-0.04482366429271469,0.432182,39.63922515060003
5,q_learning_006,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.046477000000000004,-0.04761926155097878,-0.04533473844902123,0.431728,19.717607989799763
6,sarsa_003,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047056,-0.048018496378659854,-0.04609350362134015,0.432176,20.73159576469998
7,monte_carlo_001,monte_carlo,1000000,"epsilon=0.25, gamma=1.0",10,-0.048706,-0.0495485680094146,-0.047863431990585396,0.432854,44.34134858690004
8,monte_carlo_002,monte_carlo,2000000,"epsilon=0.25, gamma=1.0",10,-0.048795,-0.049647970392087425,-0.04794202960791257,0.433048,91.18499230070002
9,monte_carlo_000,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.049773,-0.0509089738338927,-0.048637026166107294,0.432539,18.704027831300028
