rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_007,q_learning,1000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.050218,-0.051198334449597004,-0.049237665550402994,0.429608,100.04969152220005
2,q_learning_006,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.050308,-0.051029155713929616,-0.04958684428607038,0.42936,57.643518469300076
3,q_learning_008,q_learning,2000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.050613,-0.051479015698189766,-0.04974698430181023,0.429453,181.44971662330005
4,sarsa_004,sarsa,1000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.051242,-0.05239810762405583,-0.05008589237594418,0.43078700000000003,106.94359052179989
5,sarsa_005,sarsa,2000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.051705,-0.05298331891864971,-0.05042668108135029,0.431064,206.38704751110004
6,sarsa_003,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.051992000000000003,-0.05304697372993097,-0.05093702627006904,0.43036399999999997,49.06689335110004
7,monte_carlo_001,monte_carlo,1000000,"epsilon=0.3, gamma=1.0",10,-0.052433,-0.052927992600797676,-0.051938007399202325,0.431587,107.40995205570007
8,monte_carlo_002,monte_carlo,2000000,"epsilon=0.3, gamma=1.0",10,-0.052469,-0.052594039534370356,-0.05234396046562965,0.431755,214.4822854169
9,monte_carlo_000,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.053508,-0.05444223833989691,-0.05257376166010309,0.431373,53.803148913000044
