rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,double_dqn_001,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",3,-0.052866666666666666,-0.054238868873988086,-0.051494464459345246,0.42696666666666666,40.95466490000005
2,double_dqn_003,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",3,-0.06055666666666666,-0.06785682108451595,-0.053256512248817375,0.4226666666666667,40.0286053733333
3,double_dqn_000,double_dqn,50000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",3,-0.060943333333333335,-0.062293047897396585,-0.059593618769270086,0.42268333333333336,20.40803062833341
4,double_dqn_002,double_dqn,50000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",3,-0.06137,-0.06526415714800178,-0.05747584285199822,0.4217166666666667,19.79234894466693
