rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,double_dqn_005,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.049386,-0.05169247616801041,-0.047079523831989586,0.429216,259.50772093039996
2,double_dqn_002,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05031,-0.05185161195636256,-0.048768388043637444,0.428286,207.92712735160003
3,double_dqn_001,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053744,-0.058862222423615454,-0.048625777576384546,0.425632,81.97376432620013
4,double_dqn_000,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05504,-0.06127359812499972,-0.04880640187500028,0.42515000000000003,40.6425696368
5,double_dqn_003,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05545,-0.059832772123667846,-0.05106722787633215,0.426586,46.780206523600285
6,double_dqn_004,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.057118,-0.06124775023244748,-0.05298824976755252,0.424284,98.22215426159983
