rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_094,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.042687,-0.044659872063250824,-0.04071412793674918,0.433618,3.207475575499984
2,sarsa_059,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.043065,-0.04418036553091601,-0.041949634469083986,0.433496,3.1781917289000603
3,sarsa_054,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.043155,-0.0448096245498266,-0.0415003754501734,0.434463,3.220329283800015
4,q_learning_074,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.043724,-0.04549477970241611,-0.04195322029758389,0.433478,3.1200945961000572
5,sarsa_053,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.043731,-0.04430083589512927,-0.043161164104870725,0.434447,1.2884858185000212
6,q_learning_084,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.043743,-0.0453220893668891,-0.042163910633110896,0.434024,3.1646472294000203
7,q_learning_064,q_learning,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.044029,-0.04634387432590003,-0.04171412567409997,0.433684,3.1458964097000264
8,q_learning_069,q_learning,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.044452,-0.04579748222340955,-0.04310651777659045,0.433176,3.1744910154000308
9,q_learning_083,q_learning,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.04502,-0.046834625541537424,-0.04320537445846257,0.433581,1.2379106586000261
10,sarsa_024,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.045197,-0.046866036002327895,-0.04352796399767211,0.434401,3.1671149409000465
11,sarsa_058,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.045215,-0.046575089524177646,-0.04385491047582235,0.433623,1.2885718306999707
12,q_learning_093,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.045572,-0.04697790836281111,-0.04416609163718889,0.43307,1.2844984986999635
13,sarsa_029,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.045679,-0.04713853979407513,-0.04421946020592486,0.434304,3.1419060912999384
14,q_learning_089,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.045808,-0.04778746372248198,-0.043828536277518024,0.432507,3.1454599756000334
15,q_learning_073,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.045841,-0.04838022763581544,-0.04330177236418456,0.43306,1.2518466619000037
16,monte_carlo_009,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.045898,-0.04677849265765126,-0.045017507342348745,0.43555900000000003,3.200726987600001
17,q_learning_099,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.046087,-0.0483455612380353,-0.043828438761964704,0.431951,3.038433413000007
18,monte_carlo_004,monte_carlo,500000,"epsilon=0.2, gamma=1.0",10,-0.046419,-0.04745656018676295,-0.04538143981323706,0.434536,3.1942963170999747
