rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,monte_carlo_003,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.054612,-0.05532657345859844,-0.05389742654140156,0.430275,33.761305492599995
2,monte_carlo_001,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.05484,-0.05624133832032097,-0.05343866167967903,0.429986,45.71112600439999
3,monte_carlo_000,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.057692,-0.059063068839571686,-0.056320931160428314,0.428989,22.787711254900003
4,monte_carlo_002,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.058247,-0.05939718233924501,-0.057096817660754993,0.429263,17.529748457000004
5,monte_carlo_005,monte_carlo,500000,"epsilon=0.4, gamma=1.0",10,-0.058825,-0.060125757789734724,-0.05752424221026528,0.429905,37.470837403
6,monte_carlo_004,monte_carlo,200000,"epsilon=0.4, gamma=1.0",10,-0.061175,-0.0622169191954167,-0.0601330808045833,0.428768,13.474653992699979
