rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
32,sarsa_038,sarsa,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.101296,-0.10176223653777407,-0.10082976346222593,0.417042,2.070861792999949
33,q_learning_098,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101299,-0.10185561124338866,-0.10074238875661135,0.417027,2.075878856700001
34,q_learning_074,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101309,-0.10165413628071628,-0.10096386371928372,0.417033,5.098005811500025
35,sarsa_039,sarsa,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.10131,-0.1017043558100103,-0.10091564418998969,0.41701,5.215958543299985
36,sarsa_034,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101321,-0.1017353436703457,-0.10090665632965429,0.41701900000000003,5.194843629300067
37,q_learning_073,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101329,-0.10177751654526648,-0.10088048345473352,0.417043,2.0382687013000123
38,q_learning_062,q_learning,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.10133400000000001,-0.10168843197849205,-0.10097956802150797,0.417007,0.9686002146001556
39,sarsa_054,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.10134,-0.10177814269415847,-0.10090185730584153,0.417009,5.291630628300027
40,q_learning_079,q_learning,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.101368,-0.10185436092240685,-0.10088163907759315,0.417019,5.208029213399868
41,sarsa_052,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101386,-0.10188597888737648,-0.10088602111262353,0.417017,1.002600004399983
42,sarsa_057,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101386,-0.10188597888737648,-0.10088602111262353,0.417017,1.0430003628999658
43,sarsa_033,sarsa,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101388,-0.10189800021891063,-0.10087799978108938,0.417014,2.0236485992999405
44,sarsa_041,sarsa,50000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.101392,-0.10176961084165226,-0.10101438915834773,0.417025,0.5014376876999449
45,sarsa_046,sarsa,50000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.101392,-0.10176961084165226,-0.10101438915834773,0.417025,0.5081762458999947
46,q_learning_067,q_learning,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101393,-0.10177489610710536,-0.10101110389289464,0.41698,0.9672292442999606
47,sarsa_022,sarsa,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101394,-0.10173483968574357,-0.10105316031425643,0.416979,1.0927728785
48,q_learning_092,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101409,-0.10192003405913892,-0.10089796594086108,0.417,1.0070050932999948
49,q_learning_097,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101409,-0.10192003405913892,-0.10089796594086108,0.417,0.9974022579999655
50,q_learning_069,q_learning,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.10141,-0.10180046164813802,-0.10101953835186198,0.416955,5.30079595659995
51,sarsa_029,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.10144,-0.10164769424535976,-0.10123230575464025,0.416967,5.284793163199993
52,sarsa_027,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101453,-0.1018175114065583,-0.1010884885934417,0.416952,1.0807548441998733
53,monte_carlo_014,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.101463,-0.10178720148495102,-0.10113879851504898,0.416989,7.341765622500043
54,q_learning_087,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.101464,-0.10183379128383455,-0.10109420871616545,0.416958,0.9712676631999784
55,sarsa_021,sarsa,50000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101483,-0.10182214293571361,-0.1011438570642864,0.416983,0.5450181232999511
