rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_054,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.04414,-0.04489318594782431,-0.04338681405217569,0.432998,20.2083181018
2,q_learning_089,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.045462,-0.04722387974799644,-0.043700120252003566,0.43187,20.56918488819995
3,q_learning_094,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.045592,-0.0469074126433937,-0.0442765873566063,0.432558,20.901598757200055
4,q_learning_069,q_learning,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.045612,-0.04672772731005385,-0.04449627268994615,0.431436,20.545418035599983
5,sarsa_059,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.045624,-0.04716112742269468,-0.044086872577305314,0.432106,21.065501842599996
6,q_learning_084,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.04574,-0.047122057139195046,-0.04435794286080496,0.43230799999999997,20.65120503820001
7,q_learning_064,q_learning,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.045808,-0.046738770961300365,-0.04487722903869964,0.43161,20.666758727000023
8,q_learning_074,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.046154,-0.048237753791982155,-0.044070246208017846,0.432342,21.62896432040002
9,sarsa_034,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.046168,-0.047121019642190023,-0.04521498035780998,0.433812,21.12192408080001
10,monte_carlo_009,monte_carlo,500000,"epsilon=0.25, gamma=1.0",5,-0.046656,-0.048055385096962236,-0.04525661490303777,0.433936,18.973265102800003
11,q_learning_098,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.046862,-0.04766465290530839,-0.04605934709469161,0.430576,8.574076768599934
12,sarsa_024,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.04692,-0.048921514150836815,-0.04491848584916319,0.432998,20.9741085494
13,sarsa_053,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.047026,-0.04835090201056531,-0.04570109798943469,0.431936,8.0417622016
14,sarsa_029,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.047034,-0.04937551184869947,-0.04469248815130053,0.43269799999999997,21.404253205400003
15,q_learning_099,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.047122,-0.0483919136310789,-0.045852086368921095,0.43096999999999996,18.68269278920004
16,q_learning_078,q_learning,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.047372,-0.04939147922554306,-0.045352520774456936,0.430402,8.438666037799976
17,monte_carlo_004,monte_carlo,500000,"epsilon=0.2, gamma=1.0",5,-0.047549999999999995,-0.049223557681109316,-0.045876442318890674,0.434012,21.205867218
18,q_learning_083,q_learning,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.047742,-0.048400262432772824,-0.047083737567227175,0.430802,8.158744449600022
19,monte_carlo_014,monte_carlo,500000,"epsilon=0.3, gamma=1.0",5,-0.04784,-0.04988090499925891,-0.04579909500074109,0.43377,22.8354943196
20,sarsa_058,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.048176,-0.050888038054600265,-0.04546396194539973,0.431354,8.321761400600007
21,sarsa_044,sarsa,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.048328,-0.05073158181187993,-0.04592441818812008,0.433214,21.504135057599978
22,q_learning_079,q_learning,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.048492,-0.05101528515201909,-0.04596871484798091,0.430864,20.8218244444
23,q_learning_088,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.048799999999999996,-0.051315475026312125,-0.04628452497368787,0.430776,8.412712367599966
24,sarsa_043,sarsa,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.049016,-0.05081247231918557,-0.04721952768081442,0.432222,8.56506930060002
25,sarsa_038,sarsa,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.049036,-0.0506457626885973,-0.047426237311402705,0.431152,8.452383140999995
26,sarsa_028,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.04908,-0.05159454326986035,-0.04656545673013965,0.431462,8.540915587800004
27,q_learning_063,q_learning,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.049254,-0.05070710704134279,-0.04780089295865721,0.430666,8.442010529800006
28,q_learning_093,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.049294,-0.050657075373411166,-0.04793092462658883,0.43116,8.3395102984
29,sarsa_049,sarsa,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.049347999999999996,-0.05228999460339409,-0.0464060053966059,0.432332,20.10486112959999
30,q_learning_097,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.04947,-0.05070739505090331,-0.04823260494909669,0.430358,4.303789971599985
31,q_learning_087,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.0495,-0.05051328398388606,-0.04848671601611394,0.431022,4.207995270600032
32,q_learning_068,q_learning,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.049576,-0.05189039070720568,-0.04726160929279433,0.430338,8.390467271800002
33,monte_carlo_003,monte_carlo,200000,"epsilon=0.2, gamma=1.0",5,-0.049874,-0.05162161891772778,-0.04812638108227223,0.432572,7.601522428999999
34,monte_carlo_013,monte_carlo,200000,"epsilon=0.3, gamma=1.0",5,-0.049986,-0.0510119359714914,-0.0489600640285086,0.432902,8.794369829200004
35,monte_carlo_008,monte_carlo,200000,"epsilon=0.25, gamma=1.0",5,-0.049992,-0.05139634239357786,-0.04858765760642214,0.432266,6.9448472398
36,q_learning_073,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.050168,-0.05179417882116328,-0.048541821178836715,0.429718,8.207462587400006
37,sarsa_057,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.050506,-0.05424809942700619,-0.046763900572993816,0.430584,4.095964198800004
38,sarsa_048,sarsa,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.050546,-0.05243721820888019,-0.04865478179111981,0.432338,8.142863550200001
39,sarsa_023,sarsa,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.050988,-0.052728270302682886,-0.04924772969731711,0.430956,8.400840563800006
40,sarsa_033,sarsa,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.05099,-0.052368285601753134,-0.04961171439824687,0.43125800000000003,9.105369742600004
41,q_learning_077,q_learning,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.051104,-0.05386228899602634,-0.048345711003973654,0.43011,4.248825033999969
42,sarsa_039,sarsa,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.051784,-0.054465209794402517,-0.04910279020559748,0.431222,21.888942345200007
43,sarsa_037,sarsa,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.052326000000000004,-0.05403038426465396,-0.05062161573534605,0.430536,4.19513049520001
44,q_learning_092,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.052362,-0.05537472083910872,-0.049349279160891275,0.43016,4.096967722
45,q_learning_067,q_learning,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.052969999999999996,-0.05537359459809677,-0.05056640540190322,0.42943200000000004,4.085668158800013
46,sarsa_047,sarsa,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.053362,-0.0547545989653881,-0.0519694010346119,0.431136,4.0466146577999895
47,q_learning_072,q_learning,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.05412,-0.05776500457503142,-0.05047499542496858,0.42869,4.050481184400018
48,monte_carlo_007,monte_carlo,100000,"epsilon=0.25, gamma=1.0",5,-0.054422,-0.05712585107992286,-0.05171814892007714,0.43092,3.6825677113999986
49,sarsa_052,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.054616,-0.05681842087385676,-0.05241357912614324,0.428954,4.018702732999998
50,monte_carlo_002,monte_carlo,100000,"epsilon=0.2, gamma=1.0",5,-0.05465,-0.057732980939285874,-0.05156701906071412,0.431042,4.016656118800001
51,q_learning_082,q_learning,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.054714,-0.057248429307280045,-0.05217957069271995,0.428428,4.125776361599992
52,monte_carlo_012,monte_carlo,100000,"epsilon=0.3, gamma=1.0",5,-0.054754,-0.05749878808682929,-0.052009211913170705,0.430956,4.717712874200001
53,sarsa_042,sarsa,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.054964,-0.056990507307068,-0.052937492692932,0.430224,4.26458829259999
54,sarsa_027,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.055112,-0.05778602046484316,-0.052437979535156845,0.429918,4.295965705799995
55,q_learning_086,q_learning,50000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.055245999999999996,-0.05677065576757509,-0.0537213442324249,0.428324,2.0722282691999907
56,q_learning_096,q_learning,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.055788,-0.0582753890420278,-0.05330061095797219,0.427862,2.0958788396000045
57,sarsa_032,sarsa,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.055958,-0.05901258564234169,-0.05290341435765831,0.429622,4.291856872199998
58,q_learning_062,q_learning,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.056398,-0.058468036534556816,-0.05432796346544318,0.42838,4.26839312919999
59,q_learning_066,q_learning,50000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.0574,-0.05950671281763794,-0.05529328718236206,0.42764800000000003,2.0166751416000013
60,q_learning_081,q_learning,50000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.058224,-0.06123032055669385,-0.05521767944330615,0.428376,2.073656502599988
61,sarsa_056,sarsa,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.058518,-0.06027139939272261,-0.05676460060727739,0.42808999999999997,2.0440086099999917
62,q_learning_071,q_learning,50000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.058886,-0.06163959143694194,-0.05613240856305806,0.427366,2.018751445199996
63,sarsa_022,sarsa,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.058932,-0.06022714925410162,-0.057636850745898374,0.42736399999999997,4.266969567799992
64,sarsa_026,sarsa,50000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.059036,-0.06126086851242944,-0.056811131487570554,0.426992,2.084775552799999
65,q_learning_076,q_learning,50000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.059552,-0.06547991428736955,-0.05362408571263045,0.427486,2.1146504493999827
66,sarsa_051,sarsa,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.060794,-0.0647381930837118,-0.0568498069162882,0.42581600000000003,2.0061432365999963
67,monte_carlo_006,monte_carlo,50000,"epsilon=0.25, gamma=1.0",5,-0.061132,-0.06538735093998133,-0.05687664906001867,0.428294,2.4306014970000023
68,monte_carlo_001,monte_carlo,50000,"epsilon=0.2, gamma=1.0",5,-0.0617,-0.0645226109643378,-0.05887738903566219,0.427436,2.0149714708
69,sarsa_031,sarsa,50000,"epsilon=0.25, alpha=0.005, gamma=1.0",5,-0.06175,-0.06608115210354013,-0.05741884789645988,0.42641,2.0964601121999977
70,sarsa_021,sarsa,50000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.06176,-0.06603688437814258,-0.05748311562185743,0.426948,2.106074899600003
71,q_learning_091,q_learning,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",5,-0.062144,-0.06773521597880103,-0.05655278402119897,0.426448,2.058655769799975
72,sarsa_041,sarsa,50000,"epsilon=0.3, alpha=0.005, gamma=1.0",5,-0.062316,-0.0675330863080459,-0.057098913691954106,0.427098,2.1616955230000143
73,sarsa_036,sarsa,50000,"epsilon=0.25, alpha=0.01, gamma=1.0",5,-0.06247,-0.06564900278452221,-0.059290997215477786,0.42743,2.1099469076000106
74,q_learning_061,q_learning,50000,"epsilon=0.2, alpha=0.005, gamma=1.0",5,-0.06261,-0.06558316559915521,-0.05963683440084478,0.425714,2.0766725006000115
75,q_learning_085,q_learning,20000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.064044,-0.06573866455725019,-0.06234933544274981,0.425948,0.8163527619999968
76,sarsa_046,sarsa,50000,"epsilon=0.3, alpha=0.01, gamma=1.0",5,-0.06406,-0.06845485149328166,-0.05966514850671835,0.426592,2.0840173020000066
77,sarsa_055,sarsa,20000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",5,-0.064454,-0.06803042054484648,-0.06087757945515351,0.425486,0.819081676399992
