rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_151,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.051905,-0.05437329514910821,-0.04943670485089179,0.429114,9.028999517600187
2,q_learning_167,q_learning,200000,"epsilon=0.4, alpha=0.01, gamma=1.0",10,-0.052233,-0.05456618871631841,-0.049899811283681594,0.429847,8.285705802800203
3,q_learning_166,q_learning,100000,"epsilon=0.4, alpha=0.01, gamma=1.0",10,-0.053229,-0.0552522594134328,-0.0512057405865672,0.428823,4.226912942400031
4,sarsa_055,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.05392,-0.05554465491775262,-0.05229534508224738,0.429601,8.27836368799999
5,sarsa_071,sarsa,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.054352,-0.0565693055326379,-0.052134694467362096,0.429999,8.119129717500254
6,q_learning_150,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.054398,-0.05581990251492694,-0.052976097485073065,0.428533,4.159038698199856
7,monte_carlo_015,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.054443,-0.05543095601170632,-0.05345504398829368,0.430789,8.621353253399912
8,q_learning_135,q_learning,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.054487,-0.05607086663641721,-0.052903133363582794,0.428404,8.411462549200042
9,monte_carlo_011,monte_carlo,200000,"epsilon=0.2, gamma=1.0",10,-0.054974,-0.05657716391864477,-0.05337083608135523,0.429539,8.849043824899946
10,monte_carlo_007,monte_carlo,200000,"epsilon=0.1, gamma=1.0",10,-0.055492,-0.05689426033886563,-0.05408973966113437,0.428931,8.861454061500035
11,sarsa_087,sarsa,200000,"epsilon=0.4, alpha=0.01, gamma=1.0",10,-0.055649,-0.056910229329679755,-0.05438777067032024,0.430347,8.321875696000006
12,sarsa_023,sarsa,200000,"epsilon=0.05, alpha=0.01, gamma=1.0",10,-0.055671,-0.05770532190565363,-0.053636678094346364,0.427439,8.34719404069997
13,q_learning_134,q_learning,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.055846,-0.05803470021068822,-0.05365729978931178,0.427612,4.176430358900052
14,monte_carlo_019,monte_carlo,200000,"epsilon=0.4, gamma=1.0",10,-0.056426000000000004,-0.0574440987897056,-0.05540790121029441,0.431202,8.666760117700097
15,monte_carlo_003,monte_carlo,200000,"epsilon=0.05, gamma=1.0",10,-0.056427,-0.05858004619678982,-0.05427395380321018,0.428332,8.749787138499915
16,sarsa_039,sarsa,200000,"epsilon=0.1, alpha=0.01, gamma=1.0",10,-0.056946,-0.05906544837620022,-0.05482655162379977,0.427481,8.394652670200003
17,q_learning_119,q_learning,200000,"epsilon=0.1, alpha=0.01, gamma=1.0",10,-0.057062,-0.059907362002229826,-0.05421663799777018,0.426335,8.48512024119982
18,sarsa_054,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.057592000000000004,-0.05991065744893702,-0.05527334255106299,0.42836,4.122174344999939
19,q_learning_103,q_learning,200000,"epsilon=0.05, alpha=0.01, gamma=1.0",10,-0.057734,-0.06013714650717207,-0.05533085349282793,0.425854,9.085289274800108
20,sarsa_070,sarsa,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.057922,-0.05981049003320407,-0.05603350996679593,0.429474,4.0862672840999945
21,sarsa_086,sarsa,100000,"epsilon=0.4, alpha=0.01, gamma=1.0",10,-0.057974,-0.060129426178183794,-0.0558185738218162,0.429699,4.111285948000022
