rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_005,sarsa,2000000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.178194,-0.1786578685070386,-0.17773013149296138,0.386483,14.89360095660022
2,q_learning_008,q_learning,2000000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.178282,-0.178602543736936,-0.177961456263064,0.386445,14.621685132100174
3,sarsa_004,sarsa,1000000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.178693,-0.17908031206849256,-0.17830568793150742,0.38626,7.40013669660002
4,q_learning_007,q_learning,1000000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.178748,-0.179093560840374,-0.17840243915962598,0.386251,7.463978447499903
5,q_learning_006,q_learning,500000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.178812,-0.17909374957391272,-0.17853025042608728,0.386256,3.6371493836999433
6,sarsa_003,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.178934,-0.1792060284181233,-0.17866197158187672,0.386195,3.757801104199916
7,monte_carlo_002,monte_carlo,2000000,"epsilon=0.3, gamma=1.0",10,-0.179269,-0.17987060223241313,-0.1786673977675869,0.386098,20.90271364619998
8,monte_carlo_001,monte_carlo,1000000,"epsilon=0.3, gamma=1.0",10,-0.179349,-0.17976143345246368,-0.17893656654753634,0.386065,10.347382326099979
9,monte_carlo_000,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.179408,-0.17979554068024461,-0.1790204593197554,0.38603,5.071904122299975
