rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_032,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.043093,-0.04441966263054662,-0.04176633736945338,0.433237,20.43565547379985
2,sarsa_020,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.043133,-0.04484285721358376,-0.041423142786416234,0.434849,22.579928764000034
3,monte_carlo_002,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.043415,-0.0452179970054822,-0.041612002994517804,0.435119,20.807303100600073
4,q_learning_044,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.044035,-0.04529490806331256,-0.04277509193668744,0.43252,20.650348772100006
5,q_learning_038,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.044156,-0.04582609482652932,-0.04248590517347068,0.432287,20.81433161180048
6,q_learning_056,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.044157,-0.046146011180394256,-0.04216798881960575,0.43208599999999997,20.660177505499632
7,sarsa_035,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.044387,-0.04639129857261282,-0.04238270142738718,0.432115,20.526866329100265
8,q_learning_050,q_learning,500000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.044404,-0.045459250441385574,-0.043348749558614424,0.432226,20.580139884900017
9,q_learning_047,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.044471,-0.04586995266024265,-0.04307204733975734,0.43197800000000003,20.70638817300005
10,sarsa_014,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.04458,-0.046787796912560374,-0.04237220308743963,0.433911,21.530568062000384
11,monte_carlo_005,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.044649,-0.045990414256604654,-0.04330758574339535,0.435116,21.66744514610018
12,monte_carlo_001,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.04501,-0.045925170527885986,-0.04409482947211402,0.434711,7.818955477499912
13,sarsa_034,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.045055,-0.04756651267406716,-0.042543487325932834,0.431844,8.241488988600214
14,q_learning_052,q_learning,200000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.045258,-0.047554296682186824,-0.042961703317813175,0.431506,8.227380477499718
15,sarsa_026,sarsa,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.045299,-0.04746196052376778,-0.04313603947623222,0.434338,20.229198382700268
16,q_learning_055,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.045455,-0.04744315087220932,-0.04346684912779068,0.432009,8.341528192299847
17,sarsa_017,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.045567,-0.04786523881172809,-0.043268761188271915,0.432353,22.08925733420001
18,q_learning_049,q_learning,200000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.045807,-0.04862565756356146,-0.042988342436438544,0.43145500000000003,8.210590816700096
19,monte_carlo_004,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.045811,-0.046807171379186885,-0.04481482862081311,0.43441,8.851934375999736
20,q_learning_053,q_learning,500000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.046083,-0.04762738948691348,-0.04453861051308652,0.431483,20.45422442550007
21,q_learning_059,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.046171,-0.047658840835513736,-0.04468315916448626,0.430747,19.435317099900203
22,q_learning_058,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.046203,-0.04756090284325991,-0.044845097156740094,0.430679,8.36973861189981
