rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_007,sarsa,5000000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.046762,-0.047595320456007166,-0.04592867954399283,0.43149,39.411084591999995
2,q_learning_011,q_learning,5000000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.046967999999999996,-0.04861452132886276,-0.045321478671137234,0.431203,37.723450923800016
3,q_learning_010,q_learning,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.049181,-0.050589376499472594,-0.04777262350052741,0.43033899999999997,16.00508789829999
4,sarsa_006,sarsa,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.049221,-0.050320028043237396,-0.048121971956762606,0.430826,15.949757519000002
5,monte_carlo_003,monte_carlo,5000000,"epsilon=0.3, gamma=1.0",10,-0.049642,-0.05083840586320492,-0.04844559413679508,0.43302,49.5122832316
6,q_learning_009,q_learning,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.052165,-0.053019540269904755,-0.05131045973009525,0.429458,7.9755468979
7,monte_carlo_002,monte_carlo,2000000,"epsilon=0.3, gamma=1.0",10,-0.052377,-0.05347088780582532,-0.05128311219417468,0.432248,17.215777062
8,sarsa_005,sarsa,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.052872,-0.05471917057076793,-0.051024829429232074,0.429541,8.040559372100011
9,monte_carlo_001,monte_carlo,1000000,"epsilon=0.3, gamma=1.0",10,-0.05624,-0.05748728845242612,-0.054992711547573875,0.43075600000000003,7.862143346499982
10,q_learning_008,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.056306999999999996,-0.05718301768231773,-0.05543098231768226,0.428146,4.009785943300011
11,sarsa_004,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.057033,-0.0581590027046346,-0.0559069972953654,0.428124,4.025573645200012
12,monte_carlo_000,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.062228,-0.06322143538768815,-0.061234564612311845,0.428466,3.850930957699984
