rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
33,q_learning_058,q_learning,100000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.06982,-0.0746625884648605,-0.06497741153513949,0.42044,17.722678960600025
34,q_learning_070,q_learning,100000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.06985999999999999,-0.07876163729658762,-0.06095836270341236,0.4218,28.58850168380004
35,sarsa_018,sarsa,100000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.07028,-0.0758397707003077,-0.06472022929969229,0.41942,17.532321105400023
36,monte_carlo_009,monte_carlo,50000,"epsilon=0.2, gamma=1.0",5,-0.07052,-0.07638148150555812,-0.06465851849444187,0.42369999999999997,19.54515822359999
37,q_learning_067,q_learning,200000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.07054,-0.07839116405127292,-0.0626888359487271,0.42153999999999997,52.7887332022
38,sarsa_033,sarsa,50000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.0706,-0.07377253715502277,-0.06742746284497722,0.42182,13.667311453399998
39,q_learning_078,q_learning,100000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.07094,-0.076415595982174,-0.06546440401782601,0.42164,17.304611141999978
40,sarsa_034,sarsa,100000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.07103999999999999,-0.0797651046159917,-0.06231489538400828,0.42138,39.56895755319997
41,q_learning_061,q_learning,50000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.0716,-0.07394381910564787,-0.06925618089435212,0.42212,17.780869974399955
42,sarsa_023,sarsa,200000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.07164,-0.07924333491041924,-0.06403666508958075,0.41974,72.08072421039996
43,sarsa_017,sarsa,50000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.07166,-0.07327459275360693,-0.07004540724639308,0.42072,5.772209105000002
44,sarsa_022,sarsa,100000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.07176,-0.08116526376876268,-0.06235473623123733,0.4204,26.256388943399998
45,q_learning_059,q_learning,200000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.07208,-0.08062735303120212,-0.06353264696879789,0.4188,40.83642976640003
46,q_learning_065,q_learning,50000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.07222,-0.07680631623855137,-0.06763368376144864,0.4198,10.307938452200005
47,sarsa_035,sarsa,200000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.07282,-0.07663440373321964,-0.06900559626678035,0.42058,55.738665382399994
48,q_learning_069,q_learning,50000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.0729,-0.0784002363585577,-0.06739976364144232,0.4201,15.231899004999969
49,sarsa_025,sarsa,50000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.07312,-0.07463237847115066,-0.07160762152884935,0.42174,18.47517665080004
50,sarsa_046,sarsa,100000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07338,-0.07608905751876921,-0.07067094248123079,0.4214,29.8776099746
51,q_learning_053,q_learning,50000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.07382,-0.08066806161187237,-0.06697193838812762,0.41936,9.3976367492
52,q_learning_076,q_learning,20000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.07382,-0.07808064509669604,-0.06955935490330395,0.41926,3.371899478799969
53,sarsa_013,sarsa,50000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.07392,-0.07912578361440427,-0.06871421638559573,0.42122,9.873410885600038
54,sarsa_028,sarsa,20000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.07474,-0.07935312555216092,-0.07012687444783908,0.41894000000000003,10.370937069600041
55,q_learning_082,q_learning,100000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07508,-0.08134507492692625,-0.06881492507307374,0.42002,25.590955680800107
56,sarsa_047,sarsa,200000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07508000000000001,-0.08273991471492993,-0.06742008528507008,0.42036,95.2273860838001
57,q_learning_068,q_learning,20000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.07556,-0.0797365020004784,-0.07138349799952161,0.4184,4.311502340800052
58,q_learning_081,q_learning,50000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07566,-0.08608355199344254,-0.06523644800655747,0.41988,11.910926564000055
59,q_learning_057,q_learning,50000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.07574,-0.08574610234606862,-0.06573389765393138,0.41902,17.746350240799938
60,sarsa_045,sarsa,50000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07592,-0.07928435584324846,-0.07255564415675154,0.41952,8.830617045600093
61,q_learning_049,q_learning,50000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.07608,-0.07892193241298943,-0.07323806758701056,0.42022,23.522657946800017
62,monte_carlo_005,monte_carlo,50000,"epsilon=0.1, gamma=1.0",5,-0.07612000000000001,-0.08053648500959758,-0.07170351499040244,0.4211,19.514061024600004
63,q_learning_072,q_learning,20000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.07662,-0.08500146969451061,-0.06823853030548938,0.4208,1.9384417600000234
64,q_learning_064,q_learning,20000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.07708,-0.08393058553993743,-0.07022941446006256,0.41832,6.1380030242000885
65,q_learning_080,q_learning,20000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07708,-0.08283432767923413,-0.07132567232076586,0.41872,3.411191664600028
66,sarsa_021,sarsa,50000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.07794,-0.08440877207513141,-0.07147122792486858,0.41672,8.349775189600042
67,sarsa_036,sarsa,20000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.07854,-0.08208407891559993,-0.07499592108440006,0.4205,5.606099587000017
68,monte_carlo_001,monte_carlo,50000,"epsilon=0.05, gamma=1.0",5,-0.079,-0.08160834690944284,-0.07639165309055716,0.4195,12.814575554999966
69,q_learning_052,q_learning,20000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.079,-0.08534900848952023,-0.07265099151047977,0.41812,3.94664302719998
70,sarsa_024,sarsa,20000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.07948,-0.0829110638350226,-0.07604893616497739,0.41922,6.811652423799979
71,sarsa_040,sarsa,20000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.07952,-0.08764523431292906,-0.07139476568707093,0.41798,2.674180857199963
72,q_learning_083,q_learning,200000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07952,-0.09451283420304513,-0.06452716579695486,0.41776,38.857202224399956
