rank,plot_label,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
17,P15,double_dqn_023,double_dqn,1000000,"epsilon=1.0->0.05 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052126,-0.056254630088734034,-0.047997369911265964,0.42728,549.5304703419995
18,P03,double_dqn_002,double_dqn,500000,"epsilon=1.0->0.01 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052142,-0.056183477225767824,-0.04810052277423218,0.42739,289.571253169
19,P15,double_dqn_022,double_dqn,500000,"epsilon=1.0->0.05 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05225,-0.05866754105557572,-0.045832458944424274,0.427162,276.1440069810002
20,P11,double_dqn_038,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052324,-0.05699978365727073,-0.047648216342729276,0.42615200000000003,213.32390086120031
21,P16,double_dqn_032,double_dqn,100000,"epsilon=1.0->0.1 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052396,-0.05754159767195221,-0.04725040232804779,0.42686999999999997,51.21445341399995
22,P06,double_dqn_005,double_dqn,200000,"epsilon=1.0->0.01 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052478000000000004,-0.05610951241528926,-0.048846487584710746,0.427082,104.10104310860007
23,P10,double_dqn_055,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=256, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052666,-0.05819393182389219,-0.04713806817610781,0.42670199999999997,1002.2018395781997
24,P07,double_dqn_043,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052708,-0.05759710361256539,-0.047818896387434605,0.42649,517.9178916553999
25,P13,double_dqn_031,double_dqn,1000000,"epsilon=1.0->0.1 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.052832,-0.05735769644832704,-0.04830630355167295,0.426192,563.4296555106
26,P07,double_dqn_040,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053136,-0.0583343013434775,-0.047937698656522504,0.426524,47.3942310800001
27,P03,double_dqn_000,double_dqn,100000,"epsilon=1.0->0.01 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053156,-0.05796389078677958,-0.04834810921322042,0.426506,52.1734404368
28,P14,double_dqn_009,double_dqn,200000,"epsilon=1.0->0.01 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053169999999999995,-0.05989700725493885,-0.04644299274506114,0.427742,101.51473038860004
29,P13,double_dqn_028,double_dqn,100000,"epsilon=1.0->0.1 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053226,-0.05851971508504189,-0.047932284914958115,0.426238,49.28907929200068
30,P09,double_dqn_047,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=256, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053472,-0.05657760376455207,-0.050366396235447926,0.426216,882.8320745824003
31,P12,double_dqn_049,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053744,-0.058862222423615454,-0.048625777576384546,0.425632,85.92761820239976
32,P01,double_dqn_061,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053776,-0.057542279614898495,-0.0500097203851015,0.425832,146.34375607399997
33,P02,double_dqn_057,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053834,-0.056294128727038484,-0.051373871272961516,0.42691,153.17024867879954
34,P11,double_dqn_037,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053948,-0.058828968288198565,-0.04906703171180144,0.425428,84.52007271600014
